102,Gabon,-1,11.75,0,0,0,0,Vizocom,50,30,10
103,Gambia,13.4667,-16.5667,0,0,0,0,Vizocom,50,30,10
104,Ghana,8,-2,0,0,0,0,Vizocom,50,30,10
105,Guinea,11,-10,0,0,0,0,Vizocom,50,30,10
106,Guinea-Bissau,12,-15,0,0,0,0,Vizocom,50,30,10
107,Ivory Coast,8,-5,0,0,0,0,Vizocom,50,30,10
108,Lesotho,-29.5,28.5,0,0,0,0,Vizocom,50,30,10
109,Liberia,6.5,-9.5,0,0,0,0,Vizocom,50,30,10
110,Libya,25,17,0,0,0,0,Vizocom,50,30,10
111,Madagascar,-20,47,0,0,0,0,Vizocom,50,30,10
112,Mali,17,-4,0,0,0,0,Vizocom,50,30,10
113,Mauritania,20,-12,0,0,0,0,Vizocom,50,30,10
114,Mauritius,-20.2833,57.55,0,0,0,0,Vizocom,50,30,10
115,Morocco,32,-5,0,0,0,0,Vizocom,50,30,10
116,namibia,-22,17,0,0,0,0,Vizocom,50,30,10
117,Niger,16,8,0,0,0,0,Vizocom,50,30,10
118,Republic of the Congo,0,25,0,0,0,0,Vizocom,50,30,10
119,São Tomé and Príncipe,1,7,0,0,0,0,Vizocom,50,30,10
120,Senegal,14,-14,0,0,0,0,Vizocom,50,30,10
121,Seychelles,-4.5833,55.6667,0,0,0,0,Vizocom,50,30,10
122,Sierra Leone,8.5,-11.5,0,0,0,0,Vizocom,50,30,10
123,Somalia,10,49,0,0,0,0,Vizocom,50,30,10
124,South Africa,-29,24,0,0,0,0,Vizocom,50,30,10
125,South Sudan,8,30,0,0,0,0,Vizocom,50,30,10
126,Sudan,15,30,0,0,0,0,Vizocom,50,30,10
127,Tanzania,-6,35,0,0,0,0,Vizocom,50,30,10
128,Togo,8,1.1667,0,0,0,0,Vizocom,50,30,10
129,Tunisia,34,9,0,0,0,0,Vizocom,50,30,10
130,Uganda,1,32,0,0,0,0,Vizocom,50,30,10
131,Zimbabwe,-20,30,0,0,0,0,Vizocom,50,30,10
132,Fiji,-18,175,0,0,0,0,Vizocom,50,30,10
133,Kiribati,1.4167,173,0,0,0,0,Vizocom,50,30,10
134,Marshall Islands,9,168,0,0,0,0,Vizocom,50,30,10
135,Micronesia,6.9167,158.25,0,0,0,0,Vizocom,50,30,10
136,nauru,-0.5333,166.9167,0,0,0,0,Vizocom,50,30,10
137,Palau,7.5,134.5,0,0,0,0,Vizocom,50,30,10
138,Papua New Guinea,-6,147,0,0,0,0,Vizocom,50,30,10
139,Samoa,-13.5833,-172.3333,0,0,0,0,Vizocom,50,30,10
140,Solomon Islands,-8,159,0,0,0,0,Vizocom,50,30,10
141,Tonga,-20,-175,0,0,0,0,Vizocom,50,30,10
142,Tuvalu,-8,178,0,0,0,0,Vizocom,50,30,10
143,Vanuatu,-16,167,0,0,0,0,Vizocom,50,30,10
144,United States,37.0902,-95.7129,1,35,90,27,Hughesnet & Viasat,0,0,0
145,Mexico,23.6345,-102.5528,0,31,95,25,Hughesnet & Viasat,0,0,0
146,Canada,56.1304,-106.3468,1,48,100,17,"Xplore Inc., Bell, Galaxy Broadband",0,0,0
147,Guatemala,15.7835,-90.2308,1,44,130,20,BusinessCom Networks,0,0,0
148,Haiti,18.9712,-72.2852,1,48,98,15,0,0,0,0
149,Dominican Republic,18.7357,-70.1627,1,55,72,14,"Ntvsat, BusinessCom Networks",0,0,0
150,Cuba,21.5218,-77.7812,0,0,0,0,0,0,0,0
151,Honduras,15.2,-86.2419,1,46,162,25,BusinessCom Networks,0,0,0
152,Nicaragua,12.8654,-85.2072,0,0,0,0,BusinessCom Networks,0,0,0
153,El Salvador,13.7942,-88.8965,1,44,140,17,0,0,0,0
154,Costa Rica,9.7489,-83.7534,1,49,152,20,Itellum,0,0,0
155,Panama,8.538,-80.7821,1,32,190,26,Viasat,0,0,0
156,Jamaica,18.1096,-77.2975,1,37,120,23,Globaltt,0,0,0
157,Trinidad and Tobago,10.6918,-61.2225,1,68,97,28,"BusinessCom Networks, Globaltt",0,0,0
158,Bahamas,25.0343,-77.3963,1,33,140,25,BusinessCom Networks,0,0,0
